TimeStamp,Value
02/12/2021 00:00:00,15.135
02/19/2021 00:00:00,15
03/09/2021 00:00:00,15.7
04/15/2021 01:00:00,15.7
04/27/2021 01:00:00,15.875
04/28/2021 01:00:00,15.9
05/21/2021 01:00:00,16.625
05/25/2021 01:00:00,16.6
05/28/2021 01:00:00,16.65
06/15/2021 01:00:00,16.475
07/07/2021 01:00:00,16.3
07/29/2021 01:00:00,17
07/30/2021 01:00:00,16.85
08/03/2021 01:00:00,16.8
08/09/2021 01:00:00,17
08/12/2021 01:00:00,17.6
08/13/2021 01:00:00,17.6
08/17/2021 01:00:00,17.7
08/20/2021 01:00:00,17.525
09/03/2021 01:00:00,18.25
09/03/2021 01:00:00,18.25
09/07/2021 01:00:00,18.175
09/08/2021 01:00:00,18.1
09/13/2021 01:00:00,18.775
09/14/2021 01:00:00,18.95
09/15/2021 01:00:00,19.05
09/16/2021 01:00:00,18.975
09/17/2021 01:00:00,19.22
09/20/2021 01:00:00,19.5
09/21/2021 01:00:00,19.51
09/22/2021 01:00:00,19.55
09/23/2021 01:00:00,19.95
09/24/2021 01:00:00,20.2
09/27/2021 01:00:00,20.675
09/28/2021 01:00:00,20.55
09/29/2021 01:00:00,20.75
09/30/2021 01:00:00,21.2
10/04/2021 01:00:00,21.4
10/04/2021 01:00:00,21.45
10/05/2021 01:00:00,21.65
10/05/2021 01:00:00,21.65
10/06/2021 01:00:00,20.7
10/07/2021 01:00:00,21.24
10/08/2021 01:00:00,21
10/12/2021 01:00:00,21.35
10/13/2021 01:00:00,20.85
10/19/2021 01:00:00,21
10/21/2021 01:00:00,20.7
10/22/2021 01:00:00,20.7
10/25/2021 01:00:00,20.9
10/26/2021 01:00:00,20.875
10/28/2021 01:00:00,20.95
11/01/2021 00:00:00,20.8
11/02/2021 00:00:00,20.7
11/03/2021 00:00:00,20.8
11/03/2021 00:00:00,20.75
11/04/2021 00:00:00,20.3
11/05/2021 00:00:00,20.7
11/09/2021 00:00:00,20.495
11/11/2021 00:00:00,20.4
11/12/2021 00:00:00,20.4
11/16/2021 00:00:00,20.3
11/23/2021 00:00:00,20.5
11/24/2021 00:00:00,20.85
11/25/2021 00:00:00,20.8
11/26/2021 00:00:00,20.75
11/29/2021 00:00:00,21.3
12/01/2021 00:00:00,20.7
12/07/2021 00:00:00,21.35
12/07/2021 00:00:00,21.35
12/08/2021 00:00:00,21.75
12/09/2021 00:00:00,21.5
12/14/2021 00:00:00,21.4
12/16/2021 00:00:00,22.375
12/20/2021 00:00:00,23
12/21/2021 00:00:00,22.95
12/30/2021 00:00:00,21.5
01/05/2022 00:00:00,22.1
01/07/2022 00:00:00,22.475
01/07/2022 00:00:00,23
01/11/2022 00:00:00,22.7
01/12/2022 00:00:00,23.975
01/13/2022 00:00:00,23.9
01/13/2022 00:00:00,23.7
01/14/2022 00:00:00,23.2
01/17/2022 00:00:00,23.4
01/17/2022 00:00:00,23.5
01/18/2022 00:00:00,23.55
01/18/2022 00:00:00,23.5
01/19/2022 00:00:00,22.9
01/20/2022 00:00:00,23
01/21/2022 00:00:00,23.15
01/25/2022 00:00:00,23.25
01/25/2022 00:00:00,23.35
01/26/2022 00:00:00,23.5
01/27/2022 00:00:00,23.6
01/28/2022 00:00:00,23.85
01/28/2022 00:00:00,25
01/31/2022 00:00:00,24.25
01/31/2022 00:00:00,25
02/01/2022 00:00:00,24
02/02/2022 00:00:00,24.2
02/03/2022 00:00:00,23.95
02/04/2022 00:00:00,24.5
02/07/2022 00:00:00,24.7
02/07/2022 00:00:00,24.85
02/08/2022 00:00:00,24.5
02/08/2022 00:00:00,24.7
02/09/2022 00:00:00,24.6
02/10/2022 00:00:00,24.45
02/11/2022 00:00:00,24.65
02/11/2022 00:00:00,24.65
02/14/2022 00:00:00,25.3
02/15/2022 00:00:00,24.8
02/15/2022 00:00:00,24.8
02/16/2022 00:00:00,24.5
02/17/2022 00:00:00,23.7
02/18/2022 00:00:00,24.2
02/18/2022 00:00:00,24.325
02/21/2022 00:00:00,24.3
02/22/2022 00:00:00,24.65
02/23/2022 00:00:00,26
02/24/2022 00:00:00,28.5
02/25/2022 00:00:00,26.5
02/28/2022 00:00:00,25.55
03/01/2022 00:00:00,25.4
03/02/2022 00:00:00,27
03/03/2022 00:00:00,27.7
03/03/2022 00:00:00,24.8
03/04/2022 00:00:00,29
03/10/2022 00:00:00,25
03/11/2022 00:00:00,25
03/15/2022 00:00:00,25.75
03/16/2022 00:00:00,25.2
03/17/2022 00:00:00,25.75
03/22/2022 00:00:00,27.5
03/23/2022 00:00:00,30.8
03/24/2022 00:00:00,30.5
03/25/2022 00:00:00,30
03/29/2022 01:00:00,30
03/30/2022 01:00:00,30.1
04/01/2022 01:00:00,30.25
04/05/2022 01:00:00,33.95
04/06/2022 01:00:00,33.2
04/06/2022 01:00:00,33.3
04/08/2022 01:00:00,34.25
04/11/2022 01:00:00,35.75
04/11/2022 01:00:00,35.75
04/12/2022 01:00:00,36.75
04/12/2022 01:00:00,36.2
04/13/2022 01:00:00,40
04/14/2022 01:00:00,39.8
04/19/2022 01:00:00,40
04/20/2022 01:00:00,41.6
04/21/2022 01:00:00,44.4
04/22/2022 01:00:00,43.5
04/29/2022 01:00:00,38.15
05/03/2022 01:00:00,39.75
05/05/2022 01:00:00,40.45
05/06/2022 01:00:00,40.6
05/09/2022 01:00:00,39
05/10/2022 01:00:00,38.05
05/11/2022 01:00:00,36.75
05/12/2022 01:00:00,36.505
05/12/2022 01:00:00,37
05/13/2022 01:00:00,35.5
05/16/2022 01:00:00,35.15
05/16/2022 01:00:00,35.1
05/17/2022 01:00:00,34.985
05/19/2022 01:00:00,33.15
05/20/2022 01:00:00,33.25
05/23/2022 01:00:00,33.1
05/24/2022 01:00:00,32.995
05/25/2022 01:00:00,33.5
05/26/2022 01:00:00,33.575
05/31/2022 01:00:00,34.65
06/01/2022 01:00:00,34.8
06/06/2022 01:00:00,35.5
06/07/2022 01:00:00,35
06/08/2022 01:00:00,35.5
06/09/2022 01:00:00,35
06/10/2022 01:00:00,35.3
06/13/2022 01:00:00,35.5
06/15/2022 01:00:00,37.3
06/16/2022 01:00:00,37
06/17/2022 01:00:00,35.77
06/20/2022 01:00:00,35.37
06/21/2022 01:00:00,37
06/22/2022 01:00:00,37.05
06/23/2022 01:00:00,37.395
06/24/2022 01:00:00,37.45
06/29/2022 01:00:00,37.5
06/30/2022 01:00:00,37.7
06/30/2022 01:00:00,37.71
07/01/2022 01:00:00,36.77
07/04/2022 01:00:00,39
07/04/2022 01:00:00,39.2
07/05/2022 01:00:00,39.85
07/05/2022 01:00:00,39.1
07/06/2022 01:00:00,39
07/07/2022 01:00:00,39.75
07/08/2022 01:00:00,38.5
07/11/2022 01:00:00,39
07/12/2022 01:00:00,39
07/13/2022 01:00:00,39
07/14/2022 01:00:00,39.025
07/14/2022 01:00:00,39.55
07/15/2022 01:00:00,38.475
07/19/2022 01:00:00,38.5
07/19/2022 01:00:00,38.25
07/20/2022 01:00:00,37.4
07/20/2022 01:00:00,37.3
07/21/2022 01:00:00,38
07/25/2022 01:00:00,40.7
07/26/2022 01:00:00,43.5
07/27/2022 01:00:00,42.2
07/27/2022 01:00:00,42.2
08/01/2022 01:00:00,47
08/02/2022 01:00:00,48.77
08/03/2022 01:00:00,49
08/10/2022 01:00:00,50.4
08/11/2022 01:00:00,53
08/15/2022 01:00:00,56.5
08/16/2022 01:00:00,58.6
08/17/2022 01:00:00,60
08/18/2022 01:00:00,61.5
08/18/2022 01:00:00,60
08/19/2022 01:00:00,64
08/22/2022 01:00:00,74
08/22/2022 01:00:00,72.5
08/24/2022 01:00:00,71.475
08/24/2022 01:00:00,69
08/25/2022 01:00:00,75
08/25/2022 01:00:00,71.75
08/26/2022 01:00:00,79.5
08/30/2022 01:00:00,56
08/31/2022 01:00:00,55.9
09/01/2022 01:00:00,53.8
09/02/2022 01:00:00,48
09/05/2022 01:00:00,52
09/07/2022 01:00:00,52.5
09/07/2022 01:00:00,52.5
09/08/2022 01:00:00,55
09/09/2022 01:00:00,57
09/12/2022 01:00:00,55.6
09/13/2022 01:00:00,52
09/16/2022 01:00:00,48.725
09/20/2022 01:00:00,50
09/21/2022 01:00:00,51.75
09/22/2022 01:00:00,53
09/23/2022 01:00:00,53
09/26/2022 01:00:00,53.8
09/27/2022 01:00:00,58.475
09/29/2022 01:00:00,59.95
09/30/2022 01:00:00,57.25
10/04/2022 01:00:00,57.5
10/05/2022 01:00:00,58
10/06/2022 01:00:00,57.35
10/07/2022 01:00:00,57.5
10/10/2022 01:00:00,57
10/10/2022 01:00:00,56.5
10/14/2022 01:00:00,53.2
10/18/2022 01:00:00,50.65
10/20/2022 01:00:00,47.5
10/24/2022 01:00:00,45.45
10/24/2022 01:00:00,138.35
10/25/2022 01:00:00,44.75
10/25/2022 01:00:00,45.15
10/27/2022 01:00:00,43.25
10/28/2022 01:00:00,44.05
10/31/2022 00:00:00,42.75
11/01/2022 00:00:00,42.25
11/02/2022 00:00:00,43.25
11/02/2022 00:00:00,42.2
11/03/2022 00:00:00,43.5
11/04/2022 00:00:00,41.7
11/07/2022 00:00:00,41.7
11/08/2022 00:00:00,41.8
11/09/2022 00:00:00,41.6
11/10/2022 00:00:00,40.25
11/11/2022 00:00:00,39
11/14/2022 00:00:00,39.25
11/15/2022 00:00:00,39.7
11/16/2022 00:00:00,38.75
11/17/2022 00:00:00,39.65
11/18/2022 00:00:00,39.75
11/21/2022 00:00:00,39.7
11/22/2022 00:00:00,40.475
11/23/2022 00:00:00,40.85
11/24/2022 00:00:00,39.75
11/25/2022 00:00:00,40.5
11/28/2022 00:00:00,41
11/29/2022 00:00:00,41
11/30/2022 00:00:00,41
12/01/2022 00:00:00,41
12/02/2022 00:00:00,40
12/05/2022 00:00:00,40
12/06/2022 00:00:00,40.82
12/07/2022 00:00:00,40.75
12/08/2022 00:00:00,39
12/09/2022 00:00:00,39.7
12/13/2022 00:00:00,39.25
12/14/2022 00:00:00,40
12/15/2022 00:00:00,39.25
12/15/2022 00:00:00,39.75
12/16/2022 00:00:00,37.005
12/19/2022 00:00:00,37.5
12/20/2022 00:00:00,37
12/21/2022 00:00:00,37
12/22/2022 00:00:00,39.5
12/23/2022 00:00:00,41
12/28/2022 00:00:00,42.5
12/29/2022 00:00:00,42.55
12/30/2022 00:00:00,40
01/02/2023 00:00:00,41.75
01/03/2023 00:00:00,41
01/04/2023 00:00:00,40.65
01/04/2023 00:00:00,40.65
01/05/2023 00:00:00,41.7
01/06/2023 00:00:00,42
01/06/2023 00:00:00,41
01/09/2023 00:00:00,42
01/09/2023 00:00:00,42
01/10/2023 00:00:00,41.5
01/10/2023 00:00:00,41.5
01/11/2023 00:00:00,41.5
01/12/2023 00:00:00,41.5
01/12/2023 00:00:00,41.5
01/13/2023 00:00:00,40.5
01/13/2023 00:00:00,40.8
01/16/2023 00:00:00,38.25
01/16/2023 00:00:00,39.65
01/17/2023 00:00:00,38.35
01/17/2023 00:00:00,38.375
01/18/2023 00:00:00,39
01/18/2023 00:00:00,38.8
01/19/2023 00:00:00,39
01/19/2023 00:00:00,38.8
01/20/2023 00:00:00,39.1
01/20/2023 00:00:00,39.1
01/23/2023 00:00:00,38.25
01/23/2023 00:00:00,38.25
01/24/2023 00:00:00,38.25
01/24/2023 00:00:00,37.8
01/25/2023 00:00:00,37.175
01/25/2023 00:00:00,37.2
01/26/2023 00:00:00,37
01/26/2023 00:00:00,37.15
01/27/2023 00:00:00,37.3
01/30/2023 00:00:00,37.4
01/31/2023 00:00:00,37.6
01/31/2023 00:00:00,37.6
02/01/2023 00:00:00,37.6
02/01/2023 00:00:00,37.6
02/02/2023 00:00:00,37.3
02/02/2023 00:00:00,37.7
02/03/2023 00:00:00,37.75
02/06/2023 00:00:00,37.5
02/07/2023 00:00:00,37.55
02/08/2023 00:00:00,37.475
02/08/2023 00:00:00,37
02/09/2023 00:00:00,36.9
02/09/2023 00:00:00,37
02/10/2023 00:00:00,36.9
02/13/2023 00:00:00,36.7
02/14/2023 00:00:00,36.9
02/14/2023 00:00:00,37
02/15/2023 00:00:00,37
02/16/2023 00:00:00,36.5
02/16/2023 00:00:00,36.7
02/17/2023 00:00:00,35.7
02/20/2023 00:00:00,35.5
02/20/2023 00:00:00,35.65
02/21/2023 00:00:00,34.9
02/22/2023 00:00:00,34.8
02/23/2023 00:00:00,34.855
02/23/2023 00:00:00,34.9
02/24/2023 00:00:00,35.05
02/24/2023 00:00:00,35.15
02/27/2023 00:00:00,33.75
02/27/2023 00:00:00,34.7
02/28/2023 00:00:00,34.15
02/28/2023 00:00:00,34.45
03/01/2023 00:00:00,34.6
03/01/2023 00:00:00,33.5
03/02/2023 00:00:00,33.6
03/02/2023 00:00:00,33.8
03/03/2023 00:00:00,33.15
03/03/2023 00:00:00,33.2
03/06/2023 00:00:00,31.95
03/06/2023 00:00:00,32.4
03/07/2023 00:00:00,32
03/07/2023 00:00:00,32.4
03/08/2023 00:00:00,32.05
03/08/2023 00:00:00,32.8
03/09/2023 00:00:00,31.8
03/09/2023 00:00:00,34
03/10/2023 00:00:00,35.13
03/13/2023 00:00:00,34.45
03/14/2023 00:00:00,33.7
03/14/2023 00:00:00,32.375
03/15/2023 00:00:00,32.3
03/15/2023 00:00:00,32.5
03/16/2023 00:00:00,32.8
03/17/2023 00:00:00,32.4
03/20/2023 00:00:00,31.95
03/20/2023 00:00:00,32.1
03/21/2023 00:00:00,33.2
03/21/2023 00:00:00,32.55
03/22/2023 00:00:00,32.25
03/23/2023 00:00:00,33
03/24/2023 00:00:00,32.55
03/27/2023 01:00:00,33.2
03/28/2023 01:00:00,33.15
03/28/2023 01:00:00,33.75
03/29/2023 01:00:00,33.725
03/30/2023 01:00:00,34.5
03/30/2023 01:00:00,34.55
03/31/2023 01:00:00,36.8
04/03/2023 01:00:00,38.25
04/03/2023 01:00:00,38
04/04/2023 01:00:00,37.65
04/04/2023 01:00:00,37.05
04/05/2023 01:00:00,36
04/06/2023 01:00:00,35.7
04/11/2023 01:00:00,37.5
04/12/2023 01:00:00,37.8
04/13/2023 01:00:00,36.8
04/13/2023 01:00:00,37.5
04/14/2023 01:00:00,37
04/17/2023 01:00:00,37.6
04/18/2023 01:00:00,37.875
04/19/2023 01:00:00,37.3
04/19/2023 01:00:00,37.8
04/20/2023 01:00:00,37.55
04/21/2023 01:00:00,37.7
04/24/2023 01:00:00,37.5
04/25/2023 01:00:00,37.6
04/26/2023 01:00:00,38.3
04/26/2023 01:00:00,37.3
04/27/2023 01:00:00,39
04/28/2023 01:00:00,38.95
04/28/2023 01:00:00,40
05/02/2023 01:00:00,37.7
05/02/2023 01:00:00,38.55
05/03/2023 01:00:00,37.5
05/04/2023 01:00:00,37.7
05/04/2023 01:00:00,37.55
05/05/2023 01:00:00,37.6
05/08/2023 01:00:00,38
05/09/2023 01:00:00,38.4
05/10/2023 01:00:00,38.25
05/10/2023 01:00:00,38.65
05/11/2023 01:00:00,38.25
05/12/2023 01:00:00,38
05/12/2023 01:00:00,37.65
05/15/2023 01:00:00,37.5
05/15/2023 01:00:00,37.65
05/16/2023 01:00:00,36.9
05/16/2023 01:00:00,36.8
05/17/2023 01:00:00,37.5
05/17/2023 01:00:00,37.65
05/18/2023 01:00:00,36.5
05/18/2023 01:00:00,36.5
05/19/2023 01:00:00,35.8
05/19/2023 01:00:00,35.64
05/22/2023 01:00:00,35.4
05/23/2023 01:00:00,35.6
05/24/2023 01:00:00,35.3
05/25/2023 01:00:00,34.15
05/26/2023 01:00:00,33.7
05/26/2023 01:00:00,33.65
05/30/2023 01:00:00,33.45
05/31/2023 01:00:00,34.375
06/01/2023 01:00:00,33.45
06/02/2023 01:00:00,33.4
06/05/2023 01:00:00,35
06/06/2023 01:00:00,34.05
06/06/2023 01:00:00,34.15
06/07/2023 01:00:00,34.725
06/07/2023 01:00:00,34.7
06/08/2023 01:00:00,34.9
06/08/2023 01:00:00,34.5
06/09/2023 01:00:00,36.45
06/09/2023 01:00:00,36.4
06/12/2023 01:00:00,34
06/12/2023 01:00:00,35.85
06/13/2023 01:00:00,36.3
06/13/2023 01:00:00,35.5
06/14/2023 01:00:00,37
06/14/2023 01:00:00,37.2
06/15/2023 01:00:00,36.99
06/16/2023 01:00:00,35.75
06/16/2023 01:00:00,35.7
06/19/2023 01:00:00,35.55
06/20/2023 01:00:00,36
06/21/2023 01:00:00,34.5
06/22/2023 01:00:00,33.4
06/23/2023 01:00:00,32.725
06/26/2023 01:00:00,31.7
06/27/2023 01:00:00,33.05
06/28/2023 01:00:00,32.85
06/28/2023 01:00:00,32.8
06/29/2023 01:00:00,32.8
06/29/2023 01:00:00,34
06/30/2023 01:00:00,33.5
06/30/2023 01:00:00,34.9
07/03/2023 01:00:00,34.5
07/04/2023 01:00:00,34.6
07/04/2023 01:00:00,34.7
07/05/2023 01:00:00,36
07/06/2023 01:00:00,35.7
07/06/2023 01:00:00,36
07/07/2023 01:00:00,36
07/07/2023 01:00:00,36.1
07/10/2023 01:00:00,34.78
07/10/2023 01:00:00,33.45
07/11/2023 01:00:00,33
07/11/2023 01:00:00,33.5
07/12/2023 01:00:00,33
07/12/2023 01:00:00,33.4
07/13/2023 01:00:00,34.1
07/14/2023 01:00:00,34.6
07/17/2023 01:00:00,35
07/18/2023 01:00:00,35.5
07/18/2023 01:00:00,35.6
07/19/2023 01:00:00,36.2
07/20/2023 01:00:00,37.025
07/21/2023 01:00:00,36.85
07/24/2023 01:00:00,37.5
07/25/2023 01:00:00,37.6
07/26/2023 01:00:00,36.9
07/26/2023 01:00:00,36.65
07/27/2023 01:00:00,36.7
07/28/2023 01:00:00,36.1
07/28/2023 01:00:00,36.3
07/31/2023 01:00:00,35.965
07/31/2023 01:00:00,36.35
08/01/2023 01:00:00,36
08/02/2023 01:00:00,35.75
08/02/2023 01:00:00,36.4
08/03/2023 01:00:00,36.35
08/03/2023 01:00:00,36.5
08/04/2023 01:00:00,36
08/04/2023 01:00:00,36.3
08/07/2023 01:00:00,36.5
08/08/2023 01:00:00,36.75
08/09/2023 01:00:00,37.1
08/10/2023 01:00:00,36.75
08/10/2023 01:00:00,36.95
08/11/2023 01:00:00,37
08/11/2023 01:00:00,37
08/14/2023 01:00:00,37.18
08/15/2023 01:00:00,38
08/15/2023 01:00:00,38
08/16/2023 01:00:00,37.75
08/16/2023 01:00:00,37.95
08/17/2023 01:00:00,38
08/18/2023 01:00:00,38.5
08/21/2023 01:00:00,38.2
08/22/2023 01:00:00,38
08/23/2023 01:00:00,37.5
08/24/2023 01:00:00,36.75
08/25/2023 01:00:00,37.05
08/29/2023 01:00:00,37.85
08/30/2023 01:00:00,38.05
